gender_encod,province_encod,school_type_encod,major_correlation_encod,admissions_approach_encode,admissions_score,major_encod,title_encoding,type_encoding,GPA,academic_performance,best_MA_paper_encode,com_type_encoding,company_level
0,13,1,3,1,608.78,0,1.0,1.0,3.6,0.7,0,1.0,2.0
1,27,2,3,1,608.78,0,2.0,1.0,3.8,2.5,0,1.0,2.0
1,0,1,3,1,608.78,0,2.0,1.0,3.6,1.1,0,2.0,2.0
0,12,2,3,1,608.78,0,2.0,0.0,3.8,1.3,0,0.0,2.0
1,9,1,3,1,608.78,0,2.0,1.0,3.8,0.5,0,0.0,2.0
1,13,3,3,1,608.78,0,1.0,0.0,3.5,0.3,0,1.0,2.0
1,13,3,3,1,608.78,0,2.0,1.0,3.6,0.0,0,3.0,0.0
1,13,3,3,0,632.79,0,2.0,0.0,3.6,1.8,0,0.0,2.0
1,13,1,3,1,608.78,0,1.0,0.0,3.6,0.7,0,0.0,1.0
1,13,1,3,1,608.78,0,2.0,1.0,3.9,0.9,0,0.0,2.0
1,13,1,3,1,608.78,0,2.0,1.0,3.4,0.0,0,3.0,0.0
1,1,1,3,0,615.26,0,1.0,0.0,3.6,1.3,0,2.0,2.0
1,13,1,3,1,608.78,1,2.0,0.0,3.7,0.5,0,1.0,2.0
0,11,1,3,1,608.78,1,2.0,1.0,3.7,1.6,0,0.0,0.0
0,11,1,3,1,608.78,1,2.0,0.0,3.6,11.6,0,2.0,2.0
0,13,1,3,1,608.78,1,2.0,0.0,3.5,0.8,0,0.0,0.0
0,8,1,3,1,608.78,1,2.0,1.0,3.3,0.4,0,1.0,1.0
0,13,3,3,1,608.78,1,0.0,0.0,3.6,0.6,0,0.0,2.0
0,2,0,3,0,630.7,1,2.0,1.0,3.6,3.7,0,2.0,2.0
0,14,0,3,0,615.18,1,2.0,1.0,3.4,1.3,1,0.0,2.0
1,12,2,3,1,608.78,1,2.0,1.0,3.6,0.0,0,3.0,0.0
1,13,2,3,1,608.78,1,1.0,0.0,3.6,1.9,0,0.0,2.0
1,13,3,3,1,608.78,1,2.0,1.0,3.5,0.5,0,3.0,2.0
1,13,3,3,1,608.78,1,2.0,1.0,3.6,0.0,1,3.0,0.0
0,11,2,3,1,608.78,1,2.0,0.0,3.7,0.7,0,0.0,2.0
1,29,2,3,1,608.78,1,2.0,1.0,3.6,0.9,0,3.0,0.0
1,9,1,3,1,608.78,1,2.0,0.0,3.8,1.1,0,0.0,2.0
0,29,1,3,1,608.78,1,2.0,1.0,3.2,1.2,0,0.0,1.0
0,12,2,3,1,608.78,1,2.0,0.0,3.7,0.8,0,0.0,2.0
0,9,1,3,1,608.78,1,1.0,0.0,3.7,1.0,0,0.0,2.0
1,5,2,3,1,608.78,1,2.0,1.0,3.6,0.4,0,0.0,2.0
1,5,2,3,1,608.78,1,1.0,1.0,3.6,0.4,0,0.0,2.0
0,9,1,3,1,608.78,1,2.0,0.0,3.8,0.5,1,0.0,2.0
1,13,1,3,1,608.78,1,2.0,1.0,3.6,1.7,0,0.0,2.0
0,4,1,3,1,608.78,1,1.0,1.0,3.5,2.0,0,0.0,2.0
0,3,1,3,1,608.78,1,1.0,1.0,3.5,2.7,0,0.0,1.0
1,12,2,3,1,608.78,1,1.0,0.0,3.8,2.4,1,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.8,1.5,0,0.0,0.0
1,24,1,3,1,608.78,1,2.0,0.0,3.5,0.6,0,0.0,2.0
1,12,1,3,1,608.78,1,2.0,1.0,3.7,1.2,0,0.0,2.0
1,13,1,3,1,608.78,1,2.0,1.0,3.5,1.2,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.7,0.8,0,0.0,2.0
1,13,3,3,1,608.78,1,2.0,0.0,3.7,2.5,0,3.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.6,0.8,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.5,0.9,0,1.0,2.0
0,5,2,3,0,656.48,1,2.0,1.0,3.4,0.6,1,3.0,2.0
0,13,3,3,0,607.84,1,0.0,0.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,608.78,1,2.0,0.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,629.1,1,1.0,0.0,3.7,0.7,0,0.0,2.0
1,13,3,3,0,609.15,1,2.0,1.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,628.53,1,2.0,1.0,3.6,1.1,0,0.0,2.0
0,13,3,3,0,594.65,1,2.0,1.0,3.5,0.3,0,1.0,2.0
0,13,3,1,1,547.85,1,1.0,0.0,3.1,0.8,0,1.0,2.0
0,1,2,3,0,649.51,1,2.0,1.0,3.6,0.6,0,1.0,1.0
1,13,0,3,0,621.06,1,1.0,1.0,3.4,0.4,0,0.0,2.0
0,30,1,3,0,625.43,1,2.0,1.0,3.0,1.2,0,0.0,2.0
1,13,1,3,0,620.65,1,2.0,1.0,3.4,0.3,0,0.0,2.0
1,13,1,3,0,643.23,1,1.0,1.0,3.6,0.3,0,0.0,2.0
0,13,1,3,0,619.9,1,1.0,1.0,3.7,1.6,0,0.0,0.0
0,12,1,3,0,581.14,1,2.0,1.0,3.4,1.6,0,0.0,2.0
1,19,1,3,0,597.29,1,1.0,0.0,3.6,0.4,1,0.0,2.0
1,12,1,3,1,488.83,1,1.0,0.0,3.3,0.3,0,1.0,0.0
1,13,2,3,0,594.84,1,2.0,1.0,3.7,0.5,0,3.0,2.0
0,13,1,3,0,685.56,1,2.0,1.0,3.5,1.6,0,0.0,2.0
1,13,0,3,0,592.96,1,1.0,0.0,3.7,4.6,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.7,0.8,0,1.0,1.0
0,9,1,3,1,608.78,1,2.0,1.0,3.7,0.5,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.6,0.4,1,0.0,2.0
0,13,3,3,0,602.05,1,2.0,0.0,3.7,0.6,0,0.0,2.0
0,13,3,3,0,602.82,1,1.0,0.0,3.6,0.7,0,0.0,1.0
0,15,2,3,0,599.14,1,1.0,0.0,3.8,0.5,0,0.0,2.0
0,13,1,3,0,591.55,1,1.0,0.0,3.4,0.0,0,0.0,2.0
1,13,1,3,0,583.63,1,2.0,1.0,3.7,0.4,0,0.0,1.0
1,13,1,3,0,566.33,1,2.0,0.0,3.5,0.4,0,2.0,2.0
1,13,1,3,0,598.2,1,2.0,1.0,3.6,2.2,0,0.0,0.0
0,13,2,3,0,607.43,1,2.0,1.0,3.2,0.0,0,1.0,2.0
0,13,3,3,1,608.78,2,2.0,0.0,3.4,0.3,0,0.0,2.0
0,3,2,3,1,608.78,2,2.0,1.0,3.5,0.3,0,3.0,0.0
1,14,1,3,1,608.78,2,2.0,0.0,3.7,1.4,0,0.0,1.0
0,16,1,3,1,608.78,2,2.0,1.0,3.6,0.7,0,3.0,0.0
0,13,3,3,0,587.1,2,2.0,0.0,3.4,1.3,0,0.0,2.0
1,13,3,3,0,638.73,2,1.0,1.0,3.8,0.5,0,0.0,1.0
0,10,1,3,0,621.43,2,2.0,1.0,3.4,0.5,0,0.0,1.0
0,13,1,3,0,541.53,2,1.0,0.0,3.6,0.0,0,3.0,0.0
1,13,1,3,0,586.14,2,2.0,0.0,3.4,0.3,0,1.0,1.0
0,13,1,3,0,598.53,2,2.0,1.0,3.5,0.9,0,0.0,2.0
0,13,3,3,1,608.78,3,1.0,0.0,3.8,0.3,0,0.0,2.0
0,11,1,3,1,608.78,3,2.0,1.0,3.5,1.6,0,0.0,2.0
1,8,1,2,1,608.78,3,1.0,1.0,3.4,0.5,0,1.0,0.0
1,13,1,3,1,608.78,3,2.0,1.0,3.8,4.1,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,0.0,3.2,0.3,0,1.0,1.0
1,24,2,3,1,608.78,3,2.0,0.0,3.5,1.4,0,0.0,2.0
0,13,3,1,1,608.78,3,2.0,1.0,3.8,1.9,0,0.0,2.0
1,12,2,3,1,608.78,3,1.0,0.0,3.7,0.9,1,2.0,2.0
0,11,2,3,1,608.78,3,2.0,1.0,3.6,1.8,0,0.0,0.0
0,13,1,3,1,608.78,3,2.0,1.0,3.7,0.9,1,0.0,2.0
0,11,1,3,1,608.78,3,2.0,0.0,3.3,0.1,1,0.0,2.0
0,7,2,3,1,608.78,3,2.0,1.0,3.8,1.0,0,0.0,0.0
1,13,1,3,1,608.78,3,2.0,1.0,3.7,0.3,0,0.0,1.0
0,24,1,3,1,608.78,3,2.0,0.0,3.5,1.2,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,1.0,3.6,3.3,0,0.0,2.0
1,13,1,3,1,608.78,3,1.0,1.0,3.7,1.4,0,0.0,2.0
0,13,2,3,1,608.78,3,2.0,1.0,3.6,0.4,0,0.0,0.0
0,13,1,3,1,608.78,3,2.0,1.0,3.4,2.2,0,0.0,0.0
1,16,2,3,1,608.78,3,2.0,1.0,3.6,0.3,0,0.0,2.0
0,12,2,3,1,608.78,3,1.0,0.0,3.1,1.9,0,1.0,1.0
1,13,2,3,1,608.78,3,1.0,1.0,3.8,1.6,0,0.0,1.0
1,16,1,3,1,608.78,3,2.0,0.0,3.7,0.8,0,0.0,2.0
1,0,2,3,1,608.78,3,2.0,1.0,3.6,1.4,0,1.0,1.0
1,13,1,3,1,608.78,3,2.0,1.0,3.8,0.3,0,0.0,2.0
1,11,2,3,1,608.78,3,2.0,1.0,3.5,0.3,0,0.0,2.0
0,13,3,3,1,608.78,3,2.0,0.0,3.6,0.3,0,0.0,2.0
0,13,3,3,1,608.78,3,1.0,1.0,3.6,0.0,0,3.0,0.0
0,13,3,3,1,608.78,3,2.0,0.0,3.7,0.5,0,2.0,2.0
0,13,1,3,1,608.78,3,1.0,0.0,3.5,1.2,1,0.0,2.0
1,20,1,3,1,608.78,3,2.0,0.0,3.4,1.4,0,0.0,1.0
1,13,3,3,1,608.78,3,1.0,0.0,3.6,0.7,0,0.0,2.0
1,13,3,3,1,608.78,3,2.0,0.0,3.9,2.1,0,1.0,2.0
1,13,3,3,1,608.78,3,2.0,1.0,3.7,0.2,0,0.0,0.0
0,1,1,3,1,608.78,3,1.0,1.0,3.8,2.7,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,1.0,3.6,1.0,1,0.0,1.0
0,13,1,3,1,608.78,3,2.0,0.0,3.7,0.8,0,0.0,2.0
1,13,1,2,1,608.78,3,1.0,1.0,3.6,1.7,0,0.0,2.0
0,13,2,3,1,608.78,3,2.0,1.0,3.7,0.3,1,1.0,2.0
0,11,2,3,1,608.78,3,1.0,1.0,3.6,0.0,0,3.0,0.0
0,19,1,3,0,620.9,3,1.0,1.0,3.4,0.3,0,3.0,0.0
0,13,0,3,0,564.9,3,2.0,1.0,2.9,1.1,0,0.0,2.0
0,13,3,3,0,580.61,3,2.0,0.0,3.5,0.5,0,0.0,2.0
0,13,3,3,0,615.4,3,1.0,0.0,3.6,1.3,0,0.0,2.0
0,13,3,3,0,637.3,3,1.0,0.0,3.6,0.2,0,0.0,2.0
1,13,3,3,0,533.36,3,2.0,1.0,3.4,0.6,0,0.0,2.0
0,13,3,3,0,592.3,3,2.0,1.0,3.5,0.5,0,2.0,2.0
0,13,1,3,0,578.3,3,2.0,1.0,3.5,0.9,0,1.0,2.0
1,13,3,3,0,570.33,3,2.0,1.0,3.6,0.6,0,0.0,1.0
0,13,3,1,0,560.6,3,2.0,0.0,3.4,3.9,1,0.0,2.0
0,5,2,3,0,590.86,3,2.0,1.0,3.1,0.9,1,0.0,2.0
0,13,3,3,0,525.61,3,0.0,0.0,3.4,0.5,0,0.0,1.0
1,2,1,3,0,575.4,3,2.0,1.0,3.2,0.8,0,3.0,2.0
0,12,1,3,0,544.2,3,2.0,1.0,3.5,0.8,0,0.0,1.0
0,13,0,1,0,620.6,3,1.0,0.0,3.7,1.3,0,0.0,2.0
0,7,0,3,0,607.7,3,0.0,0.0,3.4,1.9,0,0.0,2.0
0,4,2,3,0,647.9,3,2.0,0.0,3.8,0.3,0,0.0,0.0
0,9,0,3,0,619.0,3,2.0,1.0,3.3,0.2,0,0.0,0.0
0,13,0,3,0,611.2,3,1.0,0.0,3.6,0.6,0,2.0,2.0
0,13,1,3,0,582.1,3,1.0,0.0,3.4,0.5,1,0.0,2.0
1,12,0,3,0,590.7,3,0.0,0.0,3.6,0.8,0,0.0,2.0
1,13,1,3,0,596.5,3,2.0,1.0,3.3,1.1,0,0.0,2.0
0,12,1,3,0,649.3,3,2.0,1.0,3.6,0.4,0,2.0,2.0
0,17,0,1,0,557.1,3,1.0,0.0,3.3,0.2,0,0.0,0.0
0,10,1,3,0,615.15,3,2.0,1.0,3.3,0.6,0,0.0,2.0
0,13,1,3,0,641.5,3,2.0,1.0,3.6,3.3,0,0.0,2.0
1,13,1,3,0,573.7,3,2.0,0.0,3.3,0.9,0,0.0,2.0
0,13,1,3,0,564.0,3,2.0,0.0,3.6,0.7,0,0.0,2.0
0,13,1,3,0,711.85,3,1.0,0.0,3.4,0.4,0,0.0,2.0
0,13,1,3,0,565.6,3,1.0,0.0,3.3,0.7,0,0.0,2.0
0,14,0,3,0,562.2,3,2.0,1.0,3.2,1.5,0,0.0,2.0
0,7,2,3,0,598.7,3,2.0,1.0,3.4,0.2,1,0.0,1.0
0,7,2,3,0,667.9,3,1.0,1.0,3.5,2.0,0,3.0,1.0
1,19,3,3,0,522.43,3,1.0,1.0,3.2,0.6,0,2.0,2.0
1,19,3,3,0,553.49,3,2.0,1.0,3.7,0.2,0,0.0,2.0
0,31,1,3,0,590.2,3,2.0,1.0,3.4,0.3,0,0.0,2.0
0,7,0,3,0,549.9,3,1.0,0.0,3.3,0.5,0,0.0,1.0
1,12,1,3,0,600.5,3,2.0,0.0,3.1,0.3,0,0.0,0.0
0,5,2,3,0,601.6,3,2.0,0.0,3.6,0.2,0,0.0,1.0
1,10,1,3,0,624.0,3,2.0,1.0,3.2,0.3,0,0.0,0.0
0,13,3,3,0,542.93,3,2.0,1.0,3.2,0.2,0,0.0,1.0
1,10,1,3,0,587.33,3,2.0,1.0,3.6,0.9,0,0.0,2.0
0,5,1,1,0,641.7,3,1.0,0.0,3.4,0.2,0,3.0,0.0
0,5,2,1,0,597.1,3,2.0,1.0,3.3,1.0,0,0.0,2.0
0,11,1,3,0,575.0,3,2.0,1.0,3.3,0.5,0,0.0,2.0
0,13,3,1,0,578.7,3,1.0,0.0,3.2,1.3,0,0.0,2.0
1,13,0,0,0,612.2,3,2.0,1.0,3.2,2.1,0,0.0,2.0
1,2,2,3,0,583.6,3,1.0,0.0,3.2,0.7,0,0.0,2.0
0,4,1,1,0,574.3,3,1.0,0.0,3.3,0.4,0,3.0,2.0
1,29,1,3,0,572.1,3,2.0,1.0,3.3,1.4,0,0.0,1.0
0,13,0,3,0,556.8,3,1.0,1.0,3.6,0.0,0,3.0,0.0
0,11,1,3,0,559.8,3,2.0,1.0,3.5,1.0,0,0.0,1.0
1,13,3,1,0,519.9,3,2.0,1.0,3.6,0.0,0,3.0,0.0
1,13,0,3,0,531.7,3,2.0,1.0,3.6,0.0,0,0.0,2.0
1,13,0,3,0,523.0,3,2.0,1.0,3.6,0.0,0,3.0,0.0
0,16,2,3,0,535.8,3,2.0,1.0,3.6,0.0,0,3.0,0.0
0,0,1,1,0,564.09,3,2.0,1.0,3.6,0.0,0,3.0,0.0
0,11,2,3,0,563.13,3,1.0,0.0,3.6,0.0,0,0.0,1.0
0,2,1,3,0,494.2,3,1.0,0.0,3.6,0.0,0,0.0,1.0
1,13,1,3,0,565.92,3,2.0,1.0,3.6,0.0,0,3.0,0.0
0,4,1,3,0,532.4,3,2.0,1.0,3.6,0.0,0,0.0,2.0
